,IS,BS,LR,Test Accuracy,TP,TN,FP,FN,Recall,Precision,F1 Score,FNR,FPR,Train Accuracy,Train Loss,Val Accuracy,Val Loss,Epochs,Time per epoch
0,112,4,1e-08,74.42,176.0,144.0,71.0,39.0,81.86,71.26,76.19,18.14,33.02,69.88,0.6314,79.07,0.5096,178,33.687540136943795
1,112,4,1e-07,86.98,196.0,178.0,37.0,19.0,91.16,84.12,87.5,8.84,17.21,90.57,0.2539,87.79,0.35850000000000004,139,33.50455042000013
2,112,4,1e-06,80.0,197.0,147.0,68.0,18.0,91.63,74.34,82.08,8.37,31.63,97.31,0.07980000000000001,85.17,0.6006,62,33.514783805241855
3,112,8,1e-08,66.28,138.0,147.0,68.0,77.0,64.19,66.99,65.56,35.81,31.63,57.98,1.8303,70.06,0.8115000000000001,40,28.76487423467479
4,112,8,1e-07,84.42,198.0,165.0,50.0,17.0,92.09,79.84,85.53,7.91,23.26,88.82,0.3057,84.01,0.4143,155,28.580017535935436
5,112,8,1e-06,83.49,202.0,157.0,58.0,13.0,93.95,77.69,85.05,6.05,26.98,96.08,0.1054,87.79,0.5948,70,28.735115705271685
6,112,16,1e-08,42.09,25.0,156.0,59.0,190.0,11.63,29.76,16.72,88.37,27.44,51.23,3.1086,51.16,2.0706,23,25.580052325782955
7,112,16,1e-07,81.86,198.0,154.0,61.0,17.0,92.09,76.45,83.54,7.91,28.37,87.23,0.32189999999999996,86.05,0.4154,196,24.653422209918432
8,112,16,1e-06,79.07,200.0,140.0,75.0,15.0,93.02,72.73,81.63,6.98,34.88,94.63,0.1522,89.53,0.4139,87,24.47901197863226
9,224,4,1e-08,85.35,201.0,166.0,49.0,14.0,93.49,80.4,86.45,6.51,22.79,85.12,0.3772,90.41,0.37439999999999996,328,50.26473204448165
10,224,4,1e-07,92.09,208.0,188.0,27.0,7.0,96.74,88.51,92.44,3.26,12.56,90.78,0.2585,92.15,0.3282,142,50.543019423408445
11,224,4,1e-06,92.79,209.0,190.0,25.0,6.0,97.21,89.32,93.1,2.79,11.63,98.04,0.053,93.6,0.3601,52,50.29179700586526
12,224,8,1e-08,49.3,180.0,32.0,183.0,35.0,83.72,49.59,62.28,16.28,85.12,56.75,1.0317,53.78,0.7511,102,43.05750269510792
13,224,8,1e-07,90.47,204.0,185.0,30.0,11.0,94.88,87.18,90.87,5.12,13.95,91.36,0.2389,91.86,0.2963,178,42.28267234932024
14,224,8,1e-06,92.33,208.0,189.0,26.0,7.0,96.74,88.89,92.65,3.26,12.09,99.56,0.0181,93.31,0.41600000000000004,111,42.841357062657536
15,224,16,1e-08,70.0,181.0,120.0,95.0,34.0,84.19,65.58,73.73,15.81,44.19,61.76,0.882,72.09,0.5753,191,38.30638401928274
16,224,16,1e-07,89.3,203.0,181.0,34.0,12.0,94.42,85.65,89.82,5.58,15.81,89.4,0.2853,90.7,0.35350000000000004,173,38.53199585856072
17,224,16,1e-06,90.23,207.0,181.0,34.0,8.0,96.28,85.89,90.79,3.72,15.81,95.21,0.1219,93.6,0.3417,67,38.64483709425367
18,512,4,1e-08,40.47,56.0,118.0,97.0,159.0,26.05,36.6,30.43,73.95,45.12,54.28,2.0343,50.87,1.5023,21,130.46464142114218
19,512,4,1e-07,88.14,206.0,173.0,42.0,9.0,95.81,83.06,88.98,4.19,19.53,93.98,0.1793,93.31,0.301,184,121.7636355567066
20,512,4,1e-06,91.16,207.0,185.0,30.0,8.0,96.28,87.34,91.59,3.72,13.95,97.24,0.0898,92.15,0.2775,40,123.4885384047506
21,512,8,1e-08,49.53,74.0,139.0,76.0,141.0,34.42,49.33,40.55,65.58,35.35,52.9,1.7716999999999998,51.74,1.0299,35,108.76491800188586
22,512,8,1e-07,89.53,199.0,186.0,29.0,16.0,92.56,87.28,89.84,7.44,13.49,91.73,0.2321,90.99,0.2815,168,108.3603660258632
23,512,8,1e-06,90.23,207.0,181.0,34.0,8.0,96.28,85.89,90.79,3.72,15.81,97.31,0.0883,91.57,0.2986,54,107.84367377788833
24,512,16,1e-08,65.35,168.0,113.0,102.0,47.0,78.14,62.22,69.28,21.86,47.44,53.77,1.1118000000000001,61.05,0.7066,112,108.26299282919663
25,512,16,1e-07,88.14,204.0,175.0,40.0,11.0,94.88,83.61,88.89,5.12,18.6,88.75,0.32439999999999997,90.41,0.3103,175,108.17841758933118
26,512,16,1e-06,90.23,200.0,188.0,27.0,15.0,93.02,88.11,90.5,6.98,12.56,93.61,0.16870000000000002,92.15,0.2808,52,108.6491151866738
